Country,Model,MAE,RMSE,MAPE,SMAPE,N
Austria,TFT,1.2431885926578587,1.3981391991638734,1.708663254807132,1.7152897258103956,4
Canada,MLP,5.380147846815703,6.708946274827744,0.8723305561771252,0.8756806232696747,4
Egypt,TCN,8.82921739852248,11.82488224620022,4.093804822291429,4.2521516608045085,4
France,TCN,27.31757707906273,31.453392582638877,5.748203110469654,5.535632167661558,4
Germany,TCN,43.40464315607666,47.37458367294163,8.332799305564773,7.934761721763442,4
Kuwait,TCN,3.823186632463738,4.766012163484938,4.510303980848343,4.6731087326968845,4
Tunisia,MLP,2.279354742577584,2.3303386733754716,9.714637516377216,10.237353051581993,4
