Country,Model,MAE,RMSE,MAPE,SMAPE,N
Austria,MLP,1.9428668438772014,2.1233239851477816,2.6816708057696834,2.6795806834478997,4
Austria,N-BEATS,2.435820702959905,2.912834331810056,3.3599040019787156,3.32686769796889,4
Austria,TCN,2.720883336127372,3.056632851106488,3.780743268960561,3.783588085422417,4
Austria,TFT,1.2431885926578587,1.3981391991638734,1.708663254807132,1.7152897258103956,4
Canada,MLP,5.380147846815703,6.708946274827744,0.8723305561771252,0.8756806232696747,4
Canada,N-BEATS,9.199536296910424,11.13737051124628,1.4877557007844082,1.5040475546911591,4
Canada,TCN,6.897826051389615,7.932571438609201,1.1184845976499707,1.124516013305416,4
Canada,TFT,8.240106786647345,9.818748046126936,1.3325824970579367,1.3450013931326956,4
Egypt,MLP,10.483768943587549,12.207076628366094,4.664144797483616,4.806119450542901,4
Egypt,N-BEATS,37.92738922019355,39.51641608422525,17.072985448480033,18.790437948852368,4
Egypt,TCN,8.82921739852248,11.82488224620022,4.093804822291429,4.2521516608045085,4
Egypt,TFT,26.341645020117333,28.6414792085325,11.787148610101216,12.650484515821805,4
France,MLP,37.66824136546549,46.595975221863796,7.995213613602635,7.534655580964636,4
France,N-BEATS,33.34134611621245,37.54502517765382,7.0537358929898195,6.749541618774869,4
France,TCN,27.31757707906273,31.453392582638877,5.748203110469654,5.535632167661558,4
France,TFT,27.84298641856688,31.626414700403505,5.894135158254445,5.676755932792485,4
Germany,MLP,55.84278902723055,59.13302971541144,10.726539447591382,10.108638854537785,4
Germany,N-BEATS,56.2756337776042,60.14539602669441,10.824239242896354,10.184894730031314,4
Germany,TCN,43.40464315607666,47.37458367294163,8.332799305564773,7.934761721763442,4
Germany,TFT,59.93298889738348,64.35088526547236,11.531933612617918,10.804068296747483,4
Kuwait,MLP,4.764752691596939,4.826817391931203,5.594578306570054,5.758748573649592,4
Kuwait,N-BEATS,14.376357676421883,14.683460500246293,16.927850888303297,18.567188492642238,4
Kuwait,TCN,3.823186632463738,4.766012163484938,4.510303980848343,4.6731087326968845,4
Kuwait,TFT,12.44643284545683,12.720567115891201,14.593765815263938,15.788661432828228,4
Tunisia,MLP,2.279354742577584,2.3303386733754716,9.714637516377216,10.237353051581993,4
Tunisia,N-BEATS,4.388762638066387,4.405891590258232,18.65286639666844,20.584751068458257,4
Tunisia,TCN,3.2041394928121782,3.5907828818118044,13.574838533602282,14.848464901487542,4
Tunisia,TFT,3.329522413396502,3.5013483979817264,14.088507334567893,15.275422756662662,4
