Country,Model,MAE,RMSE,MAPE
Austria,RandomForest,0.9740500000000054,1.3162662363671165,1.3444716888626385
Canada,LinearTrend,5.297971263944163,6.36078039657397,0.8579814441453334
Egypt,ARIMA_1_1_1,5.2589721932693365,6.721633915862722,2.3828299223253366
France,Holt,13.047030083132256,16.55308007779992,2.749073210291893
Germany,Holt,13.616680128105372,18.735744219701658,2.6206271158323835
Kuwait,LinearTrend,1.435811894933419,1.8229923740927514,1.6999458010396165
Tunisia,LinearTrend,0.6241673300899322,0.7901686844089573,2.6543253872859855
